LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01020385,East Dorset 012D,E06000059,Dorset,"27,041",9
E01015403,Poole 018B,E06000058,"Bournemouth, Christchurch and Poole","27,010",9
E01020372,Christchurch 004D,E06000058,"Bournemouth, Christchurch and Poole","26,911",9
E01015299,Bournemouth 020D,E06000058,"Bournemouth, Christchurch and Poole","26,859",9
E01015406,Poole 018E,E06000058,"Bournemouth, Christchurch and Poole","26,773",9
E01015322,Bournemouth 010A,E06000058,"Bournemouth, Christchurch and Poole","26,728",9
E01015364,Bournemouth 018C,E06000058,"Bournemouth, Christchurch and Poole","26,726",9
E01020558,Weymouth and Portland 002B,E06000059,Dorset,"26,650",9
E01020464,North Dorset 001D,E06000059,Dorset,"26,436",9
E01020446,North Dorset 005C,E06000059,Dorset,"26,363",9
E01020580,Weymouth and Portland 003E,E06000059,Dorset,"26,334",9
E01015447,Poole 011B,E06000058,"Bournemouth, Christchurch and Poole","26,219",8
E01020478,Purbeck 006A,E06000059,Dorset,"26,137",8
E01020435,North Dorset 007A,E06000059,Dorset,"26,090",8
E01015453,Poole 017B,E06000058,"Bournemouth, Christchurch and Poole","25,978",8
E01015351,Bournemouth 004C,E06000058,"Bournemouth, Christchurch and Poole","25,913",8
E01020458,North Dorset 004D,E06000059,Dorset,"25,909",8
E01020343,Christchurch 001A,E06000058,"Bournemouth, Christchurch and Poole","25,852",8
E01020576,Weymouth and Portland 003C,E06000059,Dorset,"25,632",8
E01020388,East Dorset 012G,E06000059,Dorset,"25,527",8
E01020425,East Dorset 006E,E06000059,Dorset,"25,520",8
E01020519,West Dorset 010B,E06000059,Dorset,"25,462",8
E01020421,East Dorset 006A,E06000059,Dorset,"25,439",8
E01020505,West Dorset 011A,E06000059,Dorset,"25,317",8
E01020524,West Dorset 010E,E06000059,Dorset,"25,240",8
E01015378,Bournemouth 010E,E06000058,"Bournemouth, Christchurch and Poole","25,138",8
E01020344,Christchurch 001B,E06000058,"Bournemouth, Christchurch and Poole","25,114",8
E01015297,Bournemouth 018B,E06000058,"Bournemouth, Christchurch and Poole","25,105",8
E01015320,Bournemouth 006A,E06000058,"Bournemouth, Christchurch and Poole","25,059",8
E01020352,Christchurch 002B,E06000058,"Bournemouth, Christchurch and Poole","25,050",8
E01032642,West Dorset 001H,E06000059,Dorset,"25,026",8
E01020520,West Dorset 010C,E06000059,Dorset,"24,717",8
E01015298,Bournemouth 020C,E06000058,"Bournemouth, Christchurch and Poole","24,698",8
E01020504,West Dorset 008C,E06000059,Dorset,"24,687",8
E01020376,East Dorset 009B,E06000059,Dorset,"24,526",8
E01020349,Christchurch 003A,E06000058,"Bournemouth, Christchurch and Poole","24,468",8
E01015394,Poole 010E,E06000058,"Bournemouth, Christchurch and Poole","24,461",8
E01015335,Bournemouth 003D,E06000058,"Bournemouth, Christchurch and Poole","24,388",8
E01015356,Bournemouth 009B,E06000058,"Bournemouth, Christchurch and Poole","24,314",8
E01015411,Poole 005E,E06000058,"Bournemouth, Christchurch and Poole","24,276",8
E01015422,Poole 006F,E06000058,"Bournemouth, Christchurch and Poole","24,240",8
E01015314,Bournemouth 011A,E06000058,"Bournemouth, Christchurch and Poole","24,235",8
E01020583,Weymouth and Portland 006A,E06000059,Dorset,"24,206",8
E01020474,Purbeck 002D,E06000059,Dorset,"24,062",8
E01020497,West Dorset 002A,E06000059,Dorset,"23,980",8
E01015319,Bournemouth 011D,E06000058,"Bournemouth, Christchurch and Poole","23,924",8
E01015389,Poole 009D,E06000058,"Bournemouth, Christchurch and Poole","23,914",8
E01020375,East Dorset 009A,E06000059,Dorset,"23,802",8
E01020501,West Dorset 006D,E06000059,Dorset,"23,789",8
E01015332,Bournemouth 003A,E06000058,"Bournemouth, Christchurch and Poole","23,753",8
E01020345,Christchurch 001C,E06000058,"Bournemouth, Christchurch and Poole","23,684",8
E01015344,Bournemouth 012A,E06000058,"Bournemouth, Christchurch and Poole","23,636",8
E01020360,Christchurch 006A,E06000058,"Bournemouth, Christchurch and Poole","23,602",8
E01015416,Poole 004E,E06000058,"Bournemouth, Christchurch and Poole","23,510",8
E01015333,Bournemouth 003B,E06000058,"Bournemouth, Christchurch and Poole","23,386",8
E01032643,West Dorset 009G,E06000059,Dorset,"23,347",8
E01015272,Bournemouth 016A,E06000058,"Bournemouth, Christchurch and Poole","23,287",8
E01020408,East Dorset 009E,E06000059,Dorset,"23,249",8
E01020379,East Dorset 007B,E06000059,Dorset,"23,143",8
E01020491,Purbeck 004C,E06000059,Dorset,"23,121",8
E01020479,Purbeck 006B,E06000059,Dorset,"22,959",7
E01020511,West Dorset 005A,E06000059,Dorset,"22,919",7
E01020361,Christchurch 006B,E06000058,"Bournemouth, Christchurch and Poole","22,917",7
E01015407,Poole 005A,E06000058,"Bournemouth, Christchurch and Poole","22,914",7
E01015370,Bournemouth 024D,E06000058,"Bournemouth, Christchurch and Poole","22,895",7
E01020514,West Dorset 012C,E06000059,Dorset,"22,887",7
E01015311,Bournemouth 002D,E06000058,"Bournemouth, Christchurch and Poole","22,836",7
E01015448,Poole 012C,E06000058,"Bournemouth, Christchurch and Poole","22,799",7
E01015348,Bournemouth 012C,E06000058,"Bournemouth, Christchurch and Poole","22,558",7
E01020473,Purbeck 002C,E06000059,Dorset,"22,538",7
E01020359,Christchurch 002D,E06000058,"Bournemouth, Christchurch and Poole","22,449",7
E01020486,Purbeck 003D,E06000059,Dorset,"22,393",7
E01015466,Poole 015B,E06000058,"Bournemouth, Christchurch and Poole","22,274",7
E01020538,West Dorset 011C,E06000059,Dorset,"22,208",7
E01015457,Poole 011E,E06000058,"Bournemouth, Christchurch and Poole","22,195",7
E01020430,North Dorset 008A,E06000059,Dorset,"22,089",7
E01015368,Bournemouth 024B,E06000058,"Bournemouth, Christchurch and Poole","22,065",7
E01020468,Purbeck 005C,E06000059,Dorset,"21,995",7
E01020392,East Dorset 008C,E06000059,Dorset,"21,968",7
E01015424,Poole 016B,E06000058,"Bournemouth, Christchurch and Poole","21,809",7
E01020487,Purbeck 003E,E06000059,Dorset,"21,778",7
E01020480,Purbeck 006C,E06000059,Dorset,"21,774",7
E01020588,Weymouth and Portland 007C,E06000059,Dorset,"21,766",7
E01020495,West Dorset 003B,E06000059,Dorset,"21,735",7
E01020475,Purbeck 002E,E06000059,Dorset,"21,694",7
E01020436,North Dorset 007B,E06000059,Dorset,"21,670",7
E01032641,West Dorset 009F,E06000059,Dorset,"21,657",7
E01020540,West Dorset 004E,E06000059,Dorset,"21,576",7
E01020428,East Dorset 010C,E06000059,Dorset,"21,488",7
E01015436,Poole 002C,E06000058,"Bournemouth, Christchurch and Poole","21,479",7
E01015450,Poole 012D,E06000058,"Bournemouth, Christchurch and Poole","21,387",7
